unit,inet_spd,terrtypo,geo\time	2021 	2020 	2019 	2018 	2017 	2016 	2015 	2014 	2013 
PC_HH,GBPS_GT1,TOTAL,AT	45.4 	36.9 	13.8 	: 	: 	: 	: 	: 	: 
PC_HH,GBPS_GT1,TOTAL,BE	69 	49.4 	49.2 	: 	: 	: 	: 	: 	: 
PC_HH,GBPS_GT1,TOTAL,BG	15.9 	8.6 	6.5 	: 	: 	: 	: 	: 	: 
PC_HH,GBPS_GT1,TOTAL,CH	63.7 	62.9 	40.3 	: 	: 	: 	: 	: 	: 
PC_HH,GBPS_GT1,TOTAL,CY	41.4 	26.2 	10.1 	: 	: 	: 	: 	: 	: 
PC_HH,GBPS_GT1,TOTAL,CZ	38.1 	7.6 	2.4 	: 	: 	: 	: 	: 	: 
PC_HH,GBPS_GT1,TOTAL,DE	62.1 	55.9 	34.1 	: 	: 	: 	: 	: 	: 
PC_HH,GBPS_GT1,TOTAL,DK	90.7 	86.5 	80.3 	: 	: 	: 	: 	: 	: 
PC_HH,GBPS_GT1,TOTAL,EE	36.7 	35.4 	28.7 	: 	: 	: 	: 	: 	: 
PC_HH,GBPS_GT1,TOTAL,EL	19 	10.2 	7 	: 	: 	: 	: 	: 	: 
PC_HH,GBPS_GT1,TOTAL,ES	92.5 	91.7 	89 	: 	: 	: 	: 	: 	: 
PC_HH,GBPS_GT1,TOTAL,EU27_2020	62.4 	51 	39.9 	: 	: 	: 	: 	: 	: 
PC_HH,GBPS_GT1,TOTAL,FI	51 	47 	40 	: 	: 	: 	: 	: 	: 
PC_HH,GBPS_GT1,TOTAL,FR	63.8 	52.2 	43.8 	: 	: 	: 	: 	: 	: 
PC_HH,GBPS_GT1,TOTAL,HR	52.3 	21.8 	5.9 	: 	: 	: 	: 	: 	: 
PC_HH,GBPS_GT1,TOTAL,HU	44.8 	35.9 	33.1 	: 	: 	: 	: 	: 	: 
PC_HH,GBPS_GT1,TOTAL,IE	67.4 	58.1 	15.9 	: 	: 	: 	: 	: 	: 
PC_HH,GBPS_GT1,TOTAL,IS	85.6 	78.5 	77 	: 	: 	: 	: 	: 	: 
PC_HH,GBPS_GT1,TOTAL,IT	44.2 	33.7 	30 	: 	: 	: 	: 	: 	: 
PC_HH,GBPS_GT1,TOTAL,LT	78 	66.9 	60.9 	: 	: 	: 	: 	: 	: 
PC_HH,GBPS_GT1,TOTAL,LU	95.9 	95.1 	92 	: 	: 	: 	: 	: 	: 
PC_HH,GBPS_GT1,TOTAL,LV	40.3 	39.6 	0 	: 	: 	: 	: 	: 	: 
PC_HH,GBPS_GT1,TOTAL,MT	100 	100 	100 	: 	: 	: 	: 	: 	: 
PC_HH,GBPS_GT1,TOTAL,NL	88.8 	16 	10.2 	: 	: 	: 	: 	: 	: 
PC_HH,GBPS_GT1,TOTAL,NO	86.5 	52.9 	50.2 	: 	: 	: 	: 	: 	: 
PC_HH,GBPS_GT1,TOTAL,PL	55.2 	46.6 	24.4 	: 	: 	: 	: 	: 	: 
PC_HH,GBPS_GT1,TOTAL,PT	86 	83.4 	70.5 	: 	: 	: 	: 	: 	: 
PC_HH,GBPS_GT1,TOTAL,RO	85.2 	72.8 	65.9 	: 	: 	: 	: 	: 	: 
PC_HH,GBPS_GT1,TOTAL,SE	82.5 	80.5 	77.1 	: 	: 	: 	: 	: 	: 
PC_HH,GBPS_GT1,TOTAL,SI	0.9 	0.8 	0.5 	: 	: 	: 	: 	: 	: 
PC_HH,GBPS_GT1,TOTAL,SK	28 	21.4 	19.2 	: 	: 	: 	: 	: 	: 
PC_HH,GBPS_GT1,TOTAL,UK	38.7 	21 	0 	: 	: 	: 	: 	: 	: 
PC_HH,MBPS_GT100,TOTAL,AT	82.8 	72.2 	65.2 	57.5 	56.2 	49.5 	42.3 	40.8 	43.2 
PC_HH,MBPS_GT100,TOTAL,BE	97.2 	96.5 	96.5 	95.5 	94.2 	93.9 	93.1 	92.6 	91.9 
PC_HH,MBPS_GT100,TOTAL,BG	91.9 	80.9 	68 	49 	30.7 	18.6 	15.7 	15.1 	2 
PC_HH,MBPS_GT100,TOTAL,CH	98.6 	98.6 	98.6 	98.5 	98.5 	98.5 	98.4 	98.3 	97.4 
PC_HH,MBPS_GT100,TOTAL,CY	82.9 	78.9 	71 	62.9 	45 	44.8 	44.6 	44.1 	43.7 
PC_HH,MBPS_GT100,TOTAL,CZ	89.2 	86.4 	75 	58.2 	55.9 	44.5 	43.3 	39.4 	38.6 
PC_HH,MBPS_GT100,TOTAL,DE	89.6 	85.7 	81.8 	66.3 	65.4 	64.9 	63.5 	62.1 	56.4 
PC_HH,MBPS_GT100,TOTAL,DK	96.3 	95.3 	94.3 	92.6 	91.2 	88.9 	87 	85 	46.8 
PC_HH,MBPS_GT100,TOTAL,EE	83.5 	81.9 	74.3 	68.5 	61.1 	58.7 	58.3 	54.1 	51.5 
PC_HH,MBPS_GT100,TOTAL,EL	54.6 	48.9 	41.6 	0.4 	0.4 	0.4 	0.4 	0.4 	0.4 
PC_HH,MBPS_GT100,TOTAL,ES	93.8 	91.7 	89 	87.2 	83.6 	79.1 	74.2 	70.5 	60.6 
PC_HH,MBPS_GT100,TOTAL,EU27_2020	82.1 	76.2 	70.9 	58.4 	54.4 	50.5 	47.3 	45.3 	40 
PC_HH,MBPS_GT100,TOTAL,FI	65 	64 	62 	51.8 	43.4 	32.5 	33.7 	33.7 	29.4 
PC_HH,MBPS_GT100,TOTAL,FR	65.3 	55.8 	50.3 	47.4 	39.2 	33.9 	28.4 	26.9 	26.6 
PC_HH,MBPS_GT100,TOTAL,HR	62.1 	46.2 	43.6 	37.7 	28.5 	25.3 	22 	21.8 	19.1 
PC_HH,MBPS_GT100,TOTAL,HU	88.7 	85.5 	79 	78 	72.4 	68.4 	67.7 	65.4 	68.9 
PC_HH,MBPS_GT100,TOTAL,IE	87.7 	72.8 	69.1 	55.4 	52.3 	44.9 	43.3 	40.6 	41.2 
PC_HH,MBPS_GT100,TOTAL,IS	88.3 	83.9 	83.3 	74.3 	70.4 	69.6 	49.4 	49 	49.7 
PC_HH,MBPS_GT100,TOTAL,IT	77.6 	67 	61 	23.9 	21.7 	18.8 	16.4 	14.8 	12.2 
PC_HH,MBPS_GT100,TOTAL,LT	78.1 	67.3 	61.2 	60.6 	54.4 	50.1 	49.6 	49.2 	48.7 
PC_HH,MBPS_GT100,TOTAL,LU	99.4 	99.3 	94.6 	94 	86.6 	89.7 	87.6 	82.5 	79.6 
PC_HH,MBPS_GT100,TOTAL,LV	90.7 	89.6 	89.6 	87.7 	86.9 	86.8 	86.4 	85.5 	84.6 
PC_HH,MBPS_GT100,TOTAL,MT	100 	100 	100 	99.9 	99.9 	99.4 	99.4 	99.4 	100 
PC_HH,MBPS_GT100,TOTAL,NL	98.5 	95.8 	95.8 	93 	92.9 	92 	91.9 	91.9 	88.9 
PC_HH,MBPS_GT100,TOTAL,NO	89.2 	88.5 	85.7 	82 	79.8 	77.6 	73 	28 	23 
PC_HH,MBPS_GT100,TOTAL,PL	69.2 	63.4 	51.3 	40.4 	35.4 	28.7 	22 	13.5 	12.4 
PC_HH,MBPS_GT100,TOTAL,PT	92.8 	89.5 	76.6 	70.2 	63.6 	49.6 	47.2 	45.3 	42.1 
PC_HH,MBPS_GT100,TOTAL,RO	88.6 	82.8 	77.7 	73.8 	64.9 	63.4 	61.8 	60.2 	18.4 
PC_HH,MBPS_GT100,TOTAL,SE	86.7 	85.1 	82.2 	78.4 	73.3 	68.6 	57.5 	57.5 	59.1 
PC_HH,MBPS_GT100,TOTAL,SI	85.5 	82.1 	80.9 	79.4 	74.3 	72.2 	68.7 	67.3 	64.7 
PC_HH,MBPS_GT100,TOTAL,SK	75.4 	61.9 	57.3 	54.7 	53.1 	49 	45 	35.9 	32.4 
PC_HH,MBPS_GT100,TOTAL,UK	63.2 	59 	57 	48 	47 	46 	47.9 	47.7 	47.7 
PC_HH,MBPS_GT2,TOTAL,AT	: 	98.6 	98.2 	98.1 	97.9 	98.1 	98 	98.4 	98.6 
PC_HH,MBPS_GT2,TOTAL,BE	: 	99.9 	99.9 	99.9 	99.9 	99.8 	99.8 	99.8 	99.9 
PC_HH,MBPS_GT2,TOTAL,BG	: 	95.6 	95.3 	95.3 	95 	94.9 	94.9 	94.8 	92.1 
PC_HH,MBPS_GT2,TOTAL,CH	: 	99.9 	99.8 	99.7 	99.8 	99.8 	99.8 	99.8 	99.8 
PC_HH,MBPS_GT2,TOTAL,CY	: 	100 	100 	100 	100 	100 	100 	100 	99.5 
PC_HH,MBPS_GT2,TOTAL,CZ	: 	99.8 	97.4 	96 	96.1 	95.6 	96.1 	96.1 	96.1 
PC_HH,MBPS_GT2,TOTAL,DE	: 	99 	98.5 	97.5 	97.1 	97.1 	99.9 	99.8 	99.4 
PC_HH,MBPS_GT2,TOTAL,DK	: 	99.4 	99.3 	99.2 	99.2 	98.9 	99 	99 	98.6 
PC_HH,MBPS_GT2,TOTAL,EE	: 	88.8 	85.1 	85 	84.9 	86.8 	86.8 	86 	84.7 
PC_HH,MBPS_GT2,TOTAL,EL	: 	99.6 	99.5 	95.7 	95 	94.5 	94.9 	94.3 	93.8 
PC_HH,MBPS_GT2,TOTAL,ES	: 	95.5 	95.6 	96.1 	95.7 	95.5 	95.1 	95.1 	96.3 
PC_HH,MBPS_GT2,TOTAL,EU27_2020	: 	96.7 	94.9 	94.3 	94.2 	94.1 	94.9 	94.4 	94 
PC_HH,MBPS_GT2,TOTAL,FI	: 	93 	93 	94.4 	96.5 	96.5 	96.5 	96.5 	96.2 
PC_HH,MBPS_GT2,TOTAL,FR	: 	99.7 	99.7 	97.3 	97.5 	97.4 	97.1 	97 	97 
PC_HH,MBPS_GT2,TOTAL,HR	: 	99.9 	99.9 	99.8 	98.7 	96.4 	96.1 	95.8 	95.4 
PC_HH,MBPS_GT2,TOTAL,HU	: 	95.5 	95.8 	94 	94.8 	94.8 	94.8 	93.9 	93.9 
PC_HH,MBPS_GT2,TOTAL,IE	: 	94.2 	96.9 	96.3 	96.2 	95.9 	95.9 	95.9 	95.9 
PC_HH,MBPS_GT2,TOTAL,IS	: 	96.8 	96.6 	97.3 	98 	97.7 	96.4 	96.4 	92.8 
PC_HH,MBPS_GT2,TOTAL,IT	: 	96.1 	96.1 	96 	95.9 	95.8 	98.1 	95.7 	95.3 
PC_HH,MBPS_GT2,TOTAL,LT	: 	84.6 	85.3 	84.9 	82 	81 	80.3 	79.9 	79.1 
PC_HH,MBPS_GT2,TOTAL,LU	: 	100 	100 	100 	100 	100 	100 	100 	100 
PC_HH,MBPS_GT2,TOTAL,LV	: 	94 	93.6 	93.9 	92.6 	92.6 	92.5 	91.9 	91.6 
PC_HH,MBPS_GT2,TOTAL,MT	: 	100 	100 	100 	100 	99.8 	99.8 	99.8 	100 
PC_HH,MBPS_GT2,TOTAL,NL	: 	99.5 	99.5 	99.5 	99.5 	99.5 	99.5 	99.5 	99.5 
PC_HH,MBPS_GT2,TOTAL,NO	: 	97.8 	98 	96.8 	94.4 	95.3 	100 	95.2 	96.7 
PC_HH,MBPS_GT2,TOTAL,PL	: 	88.6 	69.3 	68.8 	68.3 	68.3 	67.8 	67.2 	66.9 
PC_HH,MBPS_GT2,TOTAL,PT	: 	92.1 	91.6 	91.7 	91.4 	92.7 	92.9 	93.4 	93.7 
PC_HH,MBPS_GT2,TOTAL,RO	: 	89.5 	87.4 	87.1 	88.1 	88.6 	88.8 	89.3 	83.2 
PC_HH,MBPS_GT2,TOTAL,SE	: 	97.1 	97.3 	96.4 	97.2 	97.8 	97.5 	97.5 	97.6 
PC_HH,MBPS_GT2,TOTAL,SI	: 	98.9 	98.8 	98 	97.7 	97.5 	97.6 	97.7 	97.8 
PC_HH,MBPS_GT2,TOTAL,SK	: 	97.4 	92.8 	88.3 	87.3 	87.6 	86.3 	86.5 	76.1 
PC_HH,MBPS_GT2,TOTAL,UK	: 	99.2 	99.2 	99.2 	99.1 	98.9 	98.9 	98.9 	98.4 
PC_HH,MBPS_GT30,TOTAL,AT	93.3 	86.6 	78.8 	72.4 	71.3 	67.3 	65.2 	60.3 	55.6 
PC_HH,MBPS_GT30,TOTAL,BE	99.1 	98.5 	98.3 	98.3 	97 	96.9 	96.2 	95.7 	95.1 
PC_HH,MBPS_GT30,TOTAL,BG	93.3 	87.6 	79.8 	75 	74.5 	71.3 	68.4 	66.5 	61.9 
PC_HH,MBPS_GT30,TOTAL,CH	99.8 	99.8 	99.8 	98.9 	98.9 	98.9 	98.9 	98.7 	97.8 
PC_HH,MBPS_GT30,TOTAL,CY	100 	100 	100 	84 	78.1 	78.1 	69.8 	69.3 	68.7 
PC_HH,MBPS_GT30,TOTAL,CZ	98.1 	96.9 	91.9 	89.8 	88.6 	73.9 	72.7 	60.4 	50.6 
PC_HH,MBPS_GT30,TOTAL,DE	95.9 	94.7 	92.2 	87.9 	84.1 	80.7 	76.7 	74.6 	65.2 
PC_HH,MBPS_GT30,TOTAL,DK	97.7 	97.1 	96.4 	95.3 	94.6 	93.3 	92 	92 	82.8 
PC_HH,MBPS_GT30,TOTAL,EE	89.2 	88.3 	83.7 	82.8 	78.6 	76.9 	76.3 	72 	61.4 
PC_HH,MBPS_GT30,TOTAL,EL	96.6 	86.8 	79.7 	61.3 	48.6 	44.9 	33.2 	30.8 	13.5 
PC_HH,MBPS_GT30,TOTAL,ES	96.2 	92.3 	91 	88.2 	85 	80.8 	76.6 	73.2 	64.9 
PC_HH,MBPS_GT30,TOTAL,EU27_2020	89.8 	85.1 	81.2 	77.5 	74.3 	69.5 	63.5 	59.5 	52.4 
PC_HH,MBPS_GT30,TOTAL,FI	77 	75 	73 	70.6 	66 	66.7 	66.8 	66.8 	65.6 
PC_HH,MBPS_GT30,TOTAL,FR	74.4 	64.8 	62 	58.3 	55.5 	50 	41.3 	40 	37 
PC_HH,MBPS_GT30,TOTAL,HR	87.8 	86.3 	85.6 	84.5 	60.3 	52.3 	49.1 	44.9 	31.4 
PC_HH,MBPS_GT30,TOTAL,HU	94.9 	87.6 	86.2 	85.5 	81.7 	78.2 	76.9 	74.8 	75.6 
PC_HH,MBPS_GT30,TOTAL,IE	90.1 	87.7 	89.7 	88.8 	87.5 	77.2 	69.5 	54.3 	48.4 
PC_HH,MBPS_GT30,TOTAL,IS	98.8 	96.3 	95.6 	95.7 	95.9 	91 	89.2 	88.9 	60 
PC_HH,MBPS_GT30,TOTAL,IT	90.6 	82 	77.5 	76.7 	75.7 	63 	43.6 	27.2 	15.9 
PC_HH,MBPS_GT30,TOTAL,LT	84.6 	70.6 	63.6 	62.7 	54.4 	50.1 	49.3 	48.7 	48.1 
PC_HH,MBPS_GT30,TOTAL,LU	99.8 	99.7 	97.8 	97.6 	93.2 	94.1 	94.4 	94.4 	94.8 
PC_HH,MBPS_GT30,TOTAL,LV	93.5 	92.7 	92.7 	91.4 	90.7 	90.4 	89.8 	88.8 	88.7 
PC_HH,MBPS_GT30,TOTAL,MT	100 	100 	100 	99.9 	99.9 	99.4 	99.5 	99.5 	100 
PC_HH,MBPS_GT30,TOTAL,NL	99.2 	98.3 	98.3 	98.3 	98.3 	98.3 	98.3 	98.4 	97.6 
PC_HH,MBPS_GT30,TOTAL,NO	91.7 	91 	89.3 	86 	83.8 	82.4 	78.6 	75 	71.9 
PC_HH,MBPS_GT30,TOTAL,PL	77 	74.9 	59.6 	53 	50.2 	50.6 	50.9 	50.2 	49.7 
PC_HH,MBPS_GT30,TOTAL,PT	92.8 	89.7 	83 	75.6 	71.7 	67.1 	66.3 	65.1 	63.9 
PC_HH,MBPS_GT30,TOTAL,RO	93.7 	87 	82 	75.6 	67.9 	66.9 	65.9 	64.8 	34.5 
PC_HH,MBPS_GT30,TOTAL,SE	88.9 	87.5 	85.1 	81.9 	77.9 	74.2 	72.6 	72.6 	72.1 
PC_HH,MBPS_GT30,TOTAL,SI	89.5 	87.6 	86.9 	85.9 	83.2 	81.6 	78.1 	74.6 	71.1 
PC_HH,MBPS_GT30,TOTAL,SK	82.3 	74.1 	70.9 	72.4 	70 	64.3 	53.9 	48.8 	45.9 
PC_HH,MBPS_GT30,TOTAL,UK	95 	94.8 	94.8 	93 	91.8 	89 	87.9 	85.7 	79.1 
